CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg17633234,0.0516017388600567,0.00083626466273437,0.766761580756231,chr15,93617065,RGMA,1stExon;Body;5'UTR;TSS200;TSS200;TSS1500;5'UTR,Island,1,FALSE,""
cg05848965,0.0801755671052912,0.000836359146004424,0.766761580756231,chr2,174136765,MLK7-AS1,Body,OpenSea,1,FALSE,""
cg00992297,-0.145965208445926,0.000836391765583046,0.766761580756231,chr5,141061943,ARAP3,TSS200,OpenSea,1,FALSE,""
cg15795702,-0.047341483482453,0.000837817883966184,0.766761580756231,chr19,5841161,FUT6,TSS1500;TSS1500,N_Shelf,1,FALSE,""
cg06849778,0.10301599893333,0.00083854989183865,0.766761580756231,chr1,16847214,"","",N_Shore,0,FALSE,""
cg19016664,0.102711580018847,0.000839222547278079,0.766761580756231,chr17,698494,"","",OpenSea,0,FALSE,""
cg15421321,-0.0656500511628109,0.000839695345051588,0.766761580756231,chr14,105618816,JAG2,Body;Body,S_Shore,1,FALSE,""
cg13053702,-0.0536151334891666,0.000840064829201027,0.766761580756231,chr5,76382655,ZBED3|ZBED3-AS1,5'UTR;Body,N_Shore,2,FALSE,""
cg08783514,-0.0476109777358991,0.000841257110524967,0.766761580756231,chr15,63772233,"","",OpenSea,0,FALSE,""
cg03005062,-0.0448730893133291,0.000842167485777245,0.766761580756231,chr1,38680057,"","",OpenSea,0,FALSE,""
cg07024200,-0.0390816707215848,0.000844902592848418,0.766761580756231,chr10,28694665,"","",OpenSea,0,FALSE,""
cg10623981,-0.0730248381805221,0.000844994052540514,0.766761580756231,chr1,12132786,TNFRSF8,5'UTR;Body,OpenSea,1,FALSE,""
cg25898197,-0.0761514561238862,0.000845165760313939,0.766761580756231,chr7,128502460,ATP6V1F,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg18961681,0.0821763245622855,0.000846207522524735,0.766761580756231,chr7,32467657,"","",Island,0,FALSE,""
cg17950398,0.0687838232565,0.000848312620794251,0.766761580756231,chr15,78259200,"","",OpenSea,0,FALSE,""
cg00525496,-0.0486998715714176,0.000848669292173527,0.766761580756231,chr6,11203784,NEDD9,Body;Body;Body,OpenSea,1,FALSE,""
cg15755662,0.0534687797424338,0.000849188341671453,0.766761580756231,chr7,2671535,TTYH3,TSS200,Island,1,FALSE,""
cg16989378,0.062311240930139,0.00085015821515762,0.766761580756231,chr2,230786828,FBXO36|TRIP12,TSS1500;TSS200,Island,2,FALSE,""
cg27449793,0.0707936967049386,0.000852222415430585,0.766761580756231,chr6,32006074,CYP21A2,TSS200;TSS200,OpenSea,1,FALSE,""
cg00022235,-0.0499921235725617,0.000853458814887697,0.766761580756231,chr16,11764847,SNN,5'UTR,S_Shore,1,FALSE,""
cg15199328,0.0864007675797938,0.000853757159267887,0.766761580756231,chr2,158866191,UPP2,Body,OpenSea,1,FALSE,""
cg18615369,0.0453023100590877,0.000856070455023231,0.766761580756231,chr13,52701033,NEK5,Body,N_Shore,1,FALSE,""
cg24413781,-0.139150762985327,0.000856144584208139,0.766761580756231,chr19,8273693,LASS4,TSS1500,Island,1,FALSE,""
cg27067425,-0.0653635545072122,0.000856160439930021,0.766761580756231,chr19,15695299,"","",Island,0,FALSE,""
cg09918110,0.113869401260198,0.00085635482735394,0.766761580756231,chr5,87798170,"","",OpenSea,0,FALSE,""
cg27178191,0.0415930540078328,0.000856475774576835,0.766761580756231,chr12,51819149,SLC4A8,Body;Body,Island,1,FALSE,""
cg05935283,-0.0571302602424266,0.000856479435281381,0.766761580756231,chr3,190231667,IL1RAP,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,Island,1,FALSE,""
cg01608315,-0.045596673654484,0.000857538635654086,0.766761580756231,chr19,739936,PALM,Body;Body,N_Shore,1,FALSE,""
cg10991406,-0.0465608491607024,0.000858869543308683,0.766761580756231,chr11,45987096,PHF21A,Body;Body,OpenSea,1,FALSE,""
cg06987384,0.0626639228465863,0.000859280924760948,0.766761580756231,chr12,56988451,RBMS2,3'UTR,OpenSea,1,FALSE,""
cg09763120,0.081940378421123,0.000862960780963793,0.766761580756231,chr11,66529822,C11orf80,Body,Island,1,FALSE,""
cg16624231,-0.0354239090177012,0.000863326925150293,0.766761580756231,chr19,1617385,TCF3,Body;Body,N_Shore,1,FALSE,""
cg21648391,0.138349818404821,0.000863348937764284,0.766761580756231,chr2,220563631,"","",OpenSea,0,FALSE,""
cg22893605,0.0743685009853917,0.000864641809968168,0.766761580756231,chr5,171185324,"","",OpenSea,0,FALSE,""
cg21224380,0.059273858996505,0.000864653557143705,0.766761580756231,chr12,109240533,SSH1,Body;Body,OpenSea,1,FALSE,""
cg27636539,-0.0781787964781926,0.000866387483854924,0.766761580756231,chr18,77714327,"","",S_Shore,0,FALSE,""
cg13469058,-0.0550431121209094,0.000868352005316961,0.766761580756231,chr17,62833500,PLEKHM1P,TSS200,Island,1,FALSE,""
cg05750856,-0.0764096107630578,0.000868434641800807,0.766761580756231,chr3,149225611,"","",OpenSea,0,FALSE,""
cg20800606,-0.0775463124611482,0.000868919333971942,0.766761580756231,chr10,131694675,EBF3,Body,Island,1,FALSE,""
cg08648281,0.0583545966798939,0.000869672074816476,0.766761580756231,chr19,31159736,"","",OpenSea,0,FALSE,""
cg27415969,-0.0429939803241753,0.00086990975047051,0.766761580756231,chr3,186500848,EIF4A2,TSS1500,Island,1,FALSE,""
cg10305485,0.0470197126225339,0.000871722866709705,0.766761580756231,chr17,6554977,C17orf100|MED31,TSS200;TSS200,Island,2,FALSE,""
cg27568631,0.0474606022762327,0.000871750870168558,0.766761580756231,chr11,63438816,ATL3,5'UTR;1stExon,Island,1,FALSE,""
cg25951501,0.0770101910621004,0.000873669618235436,0.766761580756231,chr17,33814470,SLFN12L,Body,Island,1,FALSE,""
cg04138361,0.0822047162718768,0.000875127772227872,0.766761580756231,chr6,33160304,COL11A2,TSS200;TSS200;TSS200;TSS200,N_Shore,1,FALSE,""
cg03440732,0.0508798363667458,0.000876486344430316,0.766761580756231,chr9,138719715,CAMSAP1,Body,OpenSea,1,FALSE,""
cg03145042,-0.0672141065694234,0.000878694740372172,0.766761580756231,chr12,99142176,ANKS1B,Body;Body;Body,S_Shelf,1,FALSE,""
cg14320663,-0.0377106144038909,0.000879632788134357,0.766761580756231,chr11,82528889,"","",OpenSea,0,FALSE,""
cg08159065,0.0660511197441889,0.000879857679213605,0.766761580756231,chr5,160976278,GABRB2,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg22648143,0.0633963225500185,0.000880886823727667,0.766761580756231,chr17,72772381,TMEM104|NAT9,TSS1500;5'UTR,Island,2,FALSE,""
cg19482754,-0.0653685195394712,0.000882243381025869,0.766761580756231,chr12,110224547,TRPV4,Body;Body,OpenSea,1,FALSE,""
cg12161893,-0.0561239648982161,0.000884202079708262,0.766761580756231,chr19,10213817,ANGPTL6,TSS1500,N_Shelf,1,FALSE,""
cg20474370,-0.055685042766731,0.000884484335746125,0.766761580756231,chr5,67584297,PIK3R1,Body;1stExon;5'UTR,Island,1,FALSE,""
cg21327786,-0.0412970978031424,0.000885321912469162,0.766761580756231,chr10,77135572,ZNF503,Body,OpenSea,1,FALSE,""
cg05765703,-0.0448034850241667,0.000885385607768895,0.766761580756231,chr7,157769283,PTPRN2,Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg26723570,0.0616090626726706,0.000887392851723187,0.766761580756231,chr6,170102133,WDR27|C6orf120,1stExon;TSS200;5'UTR,Island,2,FALSE,""
cg08560793,0.0389808715178594,0.000888315347720532,0.766761580756231,chr7,128469741,FLNC,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg05175606,0.0490160407518461,0.000890013589169953,0.766761580756231,chr16,89556089,ANKRD11,5'UTR,Island,1,FALSE,""
cg25725541,0.0446513818899347,0.000892640684783074,0.766761580756231,chr18,12516264,SPIRE1,Body;Body;Body,OpenSea,1,FALSE,""
cg07022387,-0.0546721296299079,0.000892754418834248,0.766761580756231,chr6,43738651,VEGFA,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;TSS1500,Island,1,FALSE,""
cg07925282,-0.089530955200446,0.000893219441516348,0.766761580756231,chr7,116164950,CAV1,5'UTR;1stExon,Island,1,FALSE,""
cg18795169,0.259162042053062,0.000893288844059738,0.766761580756231,chr1,18902165,"","",OpenSea,0,FALSE,""
cg20517123,0.0515918143693376,0.000894837029480133,0.766761580756231,chr16,3127268,"","",OpenSea,0,FALSE,""
cg18145393,-0.051421449881952,0.000895226133521669,0.766761580756231,chr4,520203,PIGG,Body;Body,OpenSea,1,FALSE,""
cg06921156,0.0433549907068659,0.000895650678295437,0.766761580756231,chr3,128840619,RAB43,TSS200,Island,1,FALSE,""
cg06661685,0.0429863315229513,0.000895656276611842,0.766761580756231,chr12,113670215,TPCN1,Body;Body,OpenSea,1,FALSE,""
cg16468187,0.165339324164251,0.000895892494288432,0.766761580756231,chr16,4588687,C16orf5,5'UTR,Island,1,FALSE,""
cg02455094,0.0668283439622699,0.000896270037031498,0.766761580756231,chr18,55104078,ONECUT2,1stExon,Island,1,FALSE,""
cg06538727,-0.0631837903503601,0.000896492450497298,0.766761580756231,chr14,21156989,ANG|RNASE4,5'UTR;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;1stExon;5'UTR,OpenSea,2,FALSE,""
cg15906503,-0.0687916318087586,0.000896979910375656,0.766761580756231,chr20,61559151,DIDO1,TSS1500;TSS1500;TSS1500;5'UTR;5'UTR;5'UTR,N_Shore,1,FALSE,""
cg22135752,0.143665113482241,0.000898946771539446,0.766761580756231,chr5,6583380,LOC255167,Body;TSS200,Island,1,FALSE,""
cg24409625,0.0635958806974696,0.000899044055780922,0.766761580756231,chr6,28479517,GPX6,Body,OpenSea,1,FALSE,""
cg22134634,0.0472718608976211,0.000900117955811523,0.766761580756231,chr17,57970430,TUBD1|RPS6KB1,TSS200;TSS200,Island,2,FALSE,""
cg17119849,0.0791043908092862,0.000900953303787927,0.766761580756231,chr19,41018444,SPTBN4,Body,N_Shore,1,FALSE,""
cg25418748,0.0899178919694747,0.000900955586374172,0.766761580756231,chr5,178977236,RUFY1,TSS1500,N_Shore,1,FALSE,""
cg21480714,-0.0661927302714209,0.00090185613398082,0.766761580756231,chr11,36022300,LDLRAD3,5'UTR;Body;Body,OpenSea,1,FALSE,""
cg08483723,0.0735171476297873,0.000902172026732968,0.766761580756231,chr3,45267960,TMEM158,TSS200,Island,1,FALSE,""
cg13854874,-0.130932960752466,0.000903268126558135,0.766761580756231,chr21,37757525,CHAF1B,TSS200,Island,1,FALSE,""
cg17389877,0.0283989572857273,0.00090417112902888,0.766761580756231,chr7,36677441,AOAH,ExonBnd;ExonBnd;ExonBnd;Body;Body;Body,OpenSea,1,FALSE,""
cg26514623,0.0529346636113371,0.000907825851881111,0.766761580756231,chr6,13295561,"","",OpenSea,0,FALSE,""
cg11421702,-0.105711900149564,0.000908701082346592,0.766761580756231,chr13,73301012,C13orf37|C13orf34,Body;TSS1500,N_Shore,2,FALSE,""
cg09763390,-0.0318426925284911,0.000909001520031287,0.766761580756231,chr4,157684301,PDGFC,Body;Body,OpenSea,1,FALSE,""
cg02536923,0.129777243310797,0.000909893877760405,0.766761580756231,chr5,174825090,"","",OpenSea,0,FALSE,""
cg15560586,-0.0828667000556424,0.000910448319478293,0.766761580756231,chr15,64648483,CSNK1G1,TSS200,Island,1,FALSE,""
cg13823627,0.0737913200205656,0.00091049287814391,0.766761580756231,chr2,169442458,CERS6,Body;Body,OpenSea,1,FALSE,""
cg10513527,-0.0555600312418196,0.000913272320576191,0.766761580756231,chr7,35858040,SEPT7,Body;Body;Body,OpenSea,1,FALSE,""
cg04284994,-0.0416528199882984,0.000913552499855395,0.766761580756231,chr12,56802819,"","",OpenSea,0,FALSE,""
cg10587959,-0.0630766061762212,0.000913597751831833,0.766761580756231,chr22,49375210,"","",N_Shore,0,FALSE,""
cg03466406,0.054870446567367,0.000914263020171504,0.766761580756231,chr8,123658889,"","",OpenSea,0,FALSE,""
cg24643461,-0.0690270638872576,0.000917295204437266,0.766761580756231,chr15,102295062,"","",Island,0,FALSE,""
cg24922518,-0.0482722830788819,0.000917332631932921,0.766761580756231,chr16,17651353,"","",OpenSea,0,FALSE,""
cg07143863,-0.045428632677884,0.000917839710467021,0.766761580756231,chr12,64954729,"","",OpenSea,0,FALSE,""
cg13848206,0.0707859207417441,0.000918683940507085,0.766761580756231,chr3,186236256,"","",OpenSea,0,FALSE,""
cg18511133,-0.0411895978177496,0.000919601521812564,0.766761580756231,chr8,42443260,"","",OpenSea,0,FALSE,""
cg10321486,-0.0584052914318778,0.000921380848343046,0.766761580756231,chr1,184580661,C1orf21,Body,OpenSea,1,FALSE,""
cg15391464,0.0712302636786287,0.000921923500358686,0.766761580756231,chr17,27047549,RPL23A|SNORD42B,Body;TSS200,S_Shore,2,FALSE,""
cg13549667,0.0523028943688157,0.000923794088365602,0.766761580756231,chr19,18284397,IFI30,TSS200,N_Shore,1,FALSE,""
cg26253663,0.0563513181253158,0.000924030764998531,0.766761580756231,chr22,25799504,"","",N_Shore,0,FALSE,""
cg05829749,-0.0595860916235923,0.000924075878443372,0.766761580756231,chr16,87387375,FBXO31,Body;Body,OpenSea,1,FALSE,""
cg14503168,-0.0578545118700214,0.000924575885836435,0.766761580756231,chr10,134895446,"","",N_Shore,0,FALSE,""
cg12338202,0.0580619368898699,0.000925633595249326,0.766761580756231,chr6,32047223,TNXB,Body,S_Shore,1,FALSE,""
cg23475618,-0.0496988097265236,0.00092569596416925,0.766761580756231,chr7,1392700,"","",OpenSea,0,FALSE,""
cg25138484,-0.0552636643187238,0.000925823387755247,0.766761580756231,chr2,233242758,ALPP,TSS1500,N_Shore,1,FALSE,""
cg23192602,-0.0668886512130677,0.000925909533689966,0.766761580756231,chr19,5910085,VMAC,3'UTR,OpenSea,1,FALSE,""
cg02849279,-0.0750827603694774,0.000927365179204596,0.766761580756231,chr9,140771661,CACNA1B,TSS1500,Island,1,FALSE,""
cg14661245,-0.0314278038530999,0.000927378826600621,0.766761580756231,chr14,105307505,"","",N_Shelf,0,FALSE,""
cg11983196,0.0818959122570629,0.000927584256065209,0.766761580756231,chr1,98518557,"","",N_Shore,0,FALSE,""
cg08123705,0.063902218350474,0.000927589202540515,0.766761580756231,chr2,36873276,"","",OpenSea,0,FALSE,""
cg00577560,-0.0645777886179365,0.000928042964397543,0.766761580756231,chr1,15271830,KIAA1026,Body;5'UTR;TSS1500;Body;Body,OpenSea,1,FALSE,""
cg11412853,-0.0951836689384527,0.000930318036506216,0.766761580756231,chr12,115129801,"","",N_Shore,0,FALSE,""
cg10936803,0.0669235548502972,0.000933864949498431,0.766761580756231,chr1,153425064,"","",OpenSea,0,FALSE,""
cg04556854,0.0683392786089734,0.000936519604146349,0.766761580756231,chr4,123653523,BBS12|LOC729338,TSS1500;Body,N_Shore,2,FALSE,""
cg02806093,0.0380256343981064,0.000936787121960432,0.766761580756231,chr14,21944967,RAB2B|TOX4,Body;Body;TSS1500;TSS200,Island,2,FALSE,""
cg26893544,0.0640122952011075,0.000936823866105828,0.766761580756231,chr21,33032007,SOD1,5'UTR;1stExon,Island,1,FALSE,""
cg19615059,0.049125590020323,0.000938920501128737,0.766761580756231,chr12,110270919,TRPV4,5'UTR;5'UTR,N_Shore,1,FALSE,""
cg01780913,-0.060044335040373,0.000939435796084979,0.766761580756231,chr16,15801991,MYH11|NDE1,3'UTR;3'UTR;Body;Body;Body;Body,OpenSea,2,FALSE,""
cg15544650,0.0674406209562495,0.000939787127028313,0.766761580756231,chr1,224544612,CNIH4,5'UTR;1stExon,Island,1,FALSE,""
cg04822744,0.068873529024734,0.00093985203286875,0.766761580756231,chr12,55157377,"","",OpenSea,0,FALSE,""
cg11993583,0.0827354396168158,0.00094127822049073,0.766761580756231,chr20,56195541,ZBP1,1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg08651124,-0.0363909417832619,0.000943017232302901,0.766761580756231,chr1,23519990,HTR1D,1stExon,OpenSea,1,FALSE,""
cg22999603,-0.0571882579426702,0.000943033114221769,0.766761580756231,chr11,119537405,PVRL1,Body;Body,S_Shore,1,FALSE,""
cg19615677,0.0367493462458129,0.000944233992346901,0.766761580756231,chr6,33234201,VPS52,Body,OpenSea,1,FALSE,""
cg22350883,0.0651416103195473,0.000944483974540639,0.766761580756231,chr12,123755000,CDK2AP1,TSS1500;Body;Body;Body,S_Shore,1,FALSE,""
cg00199549,-0.0428069774131068,0.000946369923676415,0.766761580756231,chr22,35795374,MCM5,TSS1500,N_Shore,1,FALSE,""
cg07040697,-0.0457987430836691,0.000947621103815926,0.766761580756231,chr7,50843951,GRB10,5'UTR,OpenSea,1,FALSE,""
cg08020051,-0.0631285821110378,0.000947990572149637,0.766761580756231,chr8,145137133,GPAA1,TSS1500,N_Shore,1,FALSE,""
cg19306368,0.0788340374675877,0.000948433363621564,0.766761580756231,chr1,59235016,"","",OpenSea,0,FALSE,""
cg12032656,-0.0432708269527331,0.000949308536887753,0.766761580756231,chr9,135484135,DDX31,Body,OpenSea,1,FALSE,""
cg03680314,-0.0414864675177557,0.000950695309080566,0.766761580756231,chr22,26086867,ADRBK2,Body,OpenSea,1,FALSE,""
cg07784478,-0.032479675273157,0.000951098530677028,0.766761580756231,chr7,101722855,CUX1,Body;Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg16453056,0.0760774170097686,0.000951606773818495,0.766761580756231,chr7,76145632,UPK3B,3'UTR;3'UTR,Island,1,FALSE,""
cg14977412,-0.0825631655551069,0.000951842993651961,0.766761580756231,chr11,60701643,TMEM132A,Body;Body,N_Shore,1,FALSE,""
cg09736653,0.0710559186135456,0.000951853930397303,0.766761580756231,chr1,245117849,"","",OpenSea,0,FALSE,""
cg00273359,0.0640807147762739,0.000952421046514475,0.766761580756231,chr7,3019314,CARD11,5'UTR,OpenSea,1,FALSE,""
cg18090986,0.0596005780067156,0.000952715628779017,0.766761580756231,chr5,75842448,IQGAP2,TSS1500;Body,OpenSea,1,FALSE,""
cg27081339,0.064493165700798,0.000953970413798006,0.766761580756231,chr2,206752764,"","",OpenSea,0,FALSE,""
cg25749318,-0.0957392959005693,0.000955221420498269,0.766761580756231,chr6,170103058,C6orf120|WDR27,1stExon;TSS1500,Island,2,FALSE,""
cg17149980,0.0482793677966803,0.000955966823653577,0.766761580756231,chr2,97426598,CNNM4,TSS200,N_Shore,1,FALSE,""
cg23667759,-0.0669237568614729,0.000955986777522905,0.766761580756231,chr11,134632869,"","",Island,0,FALSE,""
cg26286098,0.0673707375245419,0.000958938162568253,0.766761580756231,chr13,31905755,B3GALTL,3'UTR,OpenSea,1,FALSE,""
cg26070434,0.0956461378518294,0.000960644620888076,0.766761580756231,chr18,12308012,TUBB6,5'UTR;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,Island,1,FALSE,""
cg07104209,0.0733976086548523,0.000961596543899033,0.766761580756231,chr7,27281872,EVX1,TSS1500,N_Shore,1,FALSE,""
cg10606061,0.0405333125483176,0.000962987401431732,0.766761580756231,chr8,62534440,ASPH,Body;Body,OpenSea,1,FALSE,""
cg23667868,-0.0640201740054879,0.00096537031701391,0.766761580756231,chr14,105361172,KIAA0284,Body;Body,S_Shore,1,FALSE,""
cg14731462,0.0760679260439663,0.000965483786864086,0.766761580756231,chr10,129789429,PTPRE,5'UTR,OpenSea,1,FALSE,""
cg18524148,-0.0463803417735504,0.000966048558285903,0.766761580756231,chr17,39258825,"","",OpenSea,0,FALSE,""
cg01757168,-0.166927495011094,0.000969639443876637,0.766761580756231,chr3,128215565,"","",Island,0,FALSE,""
cg15014127,0.0876544926281552,0.000970122856743785,0.766761580756231,chr14,62462931,SYT16,1stExon,OpenSea,1,FALSE,""
cg06114260,-0.0710177366687898,0.000970533778061742,0.766761580756231,chr10,76796591,"","",OpenSea,0,FALSE,""
cg03900143,0.0710416122343493,0.000970926416662893,0.766761580756231,chr3,147111660,ZIC4,Body;TSS1500;Body;Body;TSS1500,Island,1,FALSE,""
cg10122252,0.0654535722378086,0.000971972990520112,0.766761580756231,chr11,67269539,PITPNM1,Body;Body,N_Shelf,1,FALSE,""
cg22589161,0.0647410673826349,0.00097362089667601,0.766761580756231,chr7,151217575,RHEB,TSS1500,Island,1,FALSE,""
cg16206503,0.103307684062662,0.000975150305373581,0.766761580756231,chr17,16419917,"","",OpenSea,0,FALSE,""
cg24859433,-0.0769136015434551,0.000975246728414997,0.766761580756231,chr6,30720203,"","",OpenSea,0,FALSE,""
cg26425614,-0.0600619955447224,0.000975267532700564,0.766761580756231,chr2,225476847,"","",OpenSea,0,FALSE,""
cg25774317,-0.0725633566619614,0.00097749511568273,0.766761580756231,chr20,61331992,"","",OpenSea,0,FALSE,""
cg11889769,0.0663893039205906,0.00097754013739192,0.766761580756231,chr8,104383730,CTHRC1,TSS200,Island,1,FALSE,""
cg03758761,0.113561992317039,0.000978197285074619,0.766761580756231,chr19,7051652,MBD3L2,3'UTR,OpenSea,1,FALSE,""
cg09990596,0.0611552287654336,0.000979059328349751,0.766761580756231,chr14,102227939,PPP2R5C,TSS200;TSS200,Island,1,FALSE,""
cg18403361,0.0683824888684565,0.000980530255157794,0.766761580756231,chr14,38725750,CLEC14A,TSS200,S_Shore,1,FALSE,""
cg22969108,0.0539367679350871,0.000981508921868715,0.766761580756231,chr12,15983280,"","",OpenSea,0,FALSE,""
cg13625388,0.0434653012672759,0.000983718409314913,0.766761580756231,chr13,22546284,"","",OpenSea,0,FALSE,""
cg10492858,0.0936898805897542,0.000986668949037536,0.766761580756231,chr21,35884679,KCNE1,TSS1500;TSS1500;TSS1500;TSS200,OpenSea,1,FALSE,""
cg24476096,0.0697730374455288,0.000987278217540952,0.766761580756231,chr1,43855459,MED8|C1orf84,1stExon;5'UTR;5'UTR;1stExon;TSS200,Island,2,FALSE,""
cg01026796,-0.0437242444602312,0.000989218856220553,0.766761580756231,chr5,54602543,DHX29|SKIV2L2,Body;TSS1500,N_Shore,2,FALSE,""
cg06578800,0.0404467606985038,0.000990606827849286,0.766761580756231,chr17,21368039,"","",S_Shore,0,FALSE,""
cg16127415,0.0639394121786147,0.000990919598896928,0.766761580756231,chr7,105925141,NAMPT,Body,Island,1,FALSE,""
cg14652369,-0.0466854891150356,0.000991466725946073,0.766761580756231,chr8,921169,"","",N_Shelf,0,FALSE,""
cg27124293,0.0636548326382038,0.000994786554171914,0.766761580756231,chr6,170124346,PHF10,TSS1500;TSS1500,OpenSea,1,FALSE,""
cg04154281,-0.0610536116858959,0.000995376616605032,0.766761580756231,chr17,42289838,UBTF,Body;Body;Body,S_Shore,1,FALSE,""
cg14447564,-0.143232655184729,0.000995782161243184,0.766761580756231,chr5,110848247,STARD4|STARD4-AS1,5'UTR;5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;Body;Body;Body;5'UTR;5'UTR;5'UTR;Body,Island,2,FALSE,""
cg24751056,-0.0428019561862029,0.000996001404349948,0.766761580756231,chr12,26315896,"","",OpenSea,0,FALSE,""
cg00207921,-0.0958221814139671,0.000996418286164558,0.766761580756231,chr1,1098992,"","",Island,0,FALSE,""
cg07315937,0.0964404766292769,0.000997291650438288,0.766761580756231,chr6,29768269,"","",Island,0,FALSE,""
cg13141289,0.0897138847783212,0.000997724222620366,0.766761580756231,chr15,49339044,SECISBP2L,TSS1500,S_Shore,1,FALSE,""
